id,state,beer_2011,beer_2012,beer_2013,beer_2014,beer_2015,beer_2016
1,Alabama,1.14,1.16,1.14,1.13,1.12,1.09
2,Arizona,1.15,1.14,1.12,1.18,1.16,1.14
3,Arkansas,0.98,1,1,0.96,0.97,0.93
4,California,0.95,0.98,0.98,0.99,0.99,0.96
5,Colorado,1.2,1.15,1.2,1.14,1.12,1.14
6,Connecticut,0.86,0.86,0.85,0.84,0.84,0.85
7,Delaware,1.34,1.32,1.25,1.21,1.2,1.2
8,District of Columbia,1.18,1.18,1.17,1.16,1.14,1.13
9,Florida,1.13,1.26,1.28,1.09,1.11,1.09
10,Georgia,1.04,1.05,1.03,1.02,1.01,0.99
11,Idaho,1,0.98,0.96,0.92,0.93,0.92
12,Illinois,1.17,1.15,1.13,1.12,1.12,1.12
13,Indiana,1.02,1.02,1,0.98,0.98,0.98
14,Iowa,1.36,1.36,1.32,1.32,1.34,1.3
15,Kansas,1.07,1.09,0.99,1.03,1.03,1.02
16,Kentucky,0.94,0.97,0.95,0.94,0.99,0.96
17,Louisiana,1.37,1.38,1.34,1.3,1.27,1.25
18,Maine,1.23,1.34,1.36,1.36,1.37,1.36
19,Maryland,0.92,0.91,0.88,0.86,0.85,0.83
20,Massachusetts,1.02,1.03,1,0.98,0.96,0.95
21,Michigan,1.07,1.08,1.01,1.05,0.99,1.04
22,Minnesota,1.09,1.18,1.13,1.13,1.16,1.15
23,Mississippi,1.34,1.36,1.35,1.32,1.31,1.28
24,Missouri,1.24,1.22,1.19,1.16,1.17,1.15
25,Montana,1.61,1.65,1.63,1.62,1.63,1.62
26,Nebraska,1.41,1.41,1.39,1.37,1.34,1.3
27,Nevada,1.45,1.41,1.4,1.4,1.38,1.41
28,New Hampshire,1.79,1.9,1.86,1.69,1.88,1.87
29,New Jersey,0.89,0.88,0.84,0.84,0.83,0.82
30,New Mexico,1.32,1.24,1.17,1.29,1.23,1.11
31,New York,0.89,0.91,0.93,0.9,0.9,0.91
32,North Carolina,1.05,1.07,1.04,1.04,1.05,1.05
33,North Dakota,1.66,1.75,1.68,1.67,1.57,1.64
34,Ohio,1.21,1.23,1.22,1.19,1.17,1.15
35,Oklahoma,1.13,1.14,1.11,1.09,1.07,1.05
36,Oregon,1.18,1.2,1.2,1.23,1.22,1.24
37,Pennsylvania,1.34,1.36,1.34,1.32,1.31,1.31
38,Rhode Island,1.04,1.03,1,1.02,0.96,0.94
39,South Carolina,1.28,1.28,1.26,1.23,1.21,1.18
40,South Dakota,1.5,1.54,1.52,1.5,1.48,1.46
41,Tennessee,1.13,1.07,1.05,1.03,1.03,1.02
42,Texas,1.35,1.33,1.3,1.25,1.28,1.3
43,Utah,0.68,0.69,0.67,0.66,0.65,0.63
44,Vermont,1.4,1.51,1.54,1.55,1.57,1.56
45,Virginia,1.05,1.04,1.02,1,1,1
46,Washington,0.93,0.96,0.95,0.97,0.97,0.96
47,West Virginia,1.22,1.24,1.24,1.21,1.14,1.19
48,Wisconsin,1.44,1.46,1.45,1.41,1.39,1.36
49,Wyoming,1.29,1.32,1.24,1.25,1.24,1.18
