State,Area name,no_hsdiploma,hs_diploma,some_college,bachelors_orhigher,
US,United States,13.0,27.5,29.1,30.3,
AL,Alabama,15.2,31.0,29.8,24.0,
AL,Autauga County,12.4,34.3,28.7,24.6,
AL,Baldwin County,10.0,28.7,31.8,29.5,
AL,Barbour County,26.2,34.9,26.0,12.9,
AL,Bibb County,19.3,41.8,26.9,12.0,
AL,Blount County,20.0,32.9,34.0,13.1,
AL,Bullock County,33.4,34.1,22.2,10.3,
AL,Butler County,18.9,39.9,25.1,16.1,
AL,Calhoun County,17.7,32.1,32.6,17.7,
AL,Chambers County,19.7,39.4,28.4,12.5,
AL,Cherokee County,18.7,36.0,31.4,14.0,
AL,Chilton County,19.9,41.3,24.0,14.9,
AL,Choctaw County,21.1,37.3,29.6,12.0,
AL,Clarke County,19.0,45.1,23.8,12.1,
AL,Clay County,25.4,34.6,29.0,11.1,
AL,Cleburne County,25.8,38.0,24.7,11.5,
AL,Coffee County,14.9,29.3,32.1,23.7,
AL,Colbert County,16.6,34.8,30.1,18.5,
AL,Conecuh County,20.6,46.2,24.6,8.7,
AL,Coosa County,27.1,36.3,26.7,9.9,
AL,Covington County,19.1,34.4,31.6,14.9,
AL,Crenshaw County,21.7,38.5,25.1,14.6,
AL,Cullman County,17.8,35.1,32.1,15.0,
AL,Dale County,14.2,33.1,36.7,16.1,
AL,Dallas County,21.0,36.5,28.8,13.8,
AL,DeKalb County,27.4,34.3,27.0,11.4,
AL,Elmore County,13.2,35.4,29.1,22.2,
AL,Escambia County,19.5,43.4,25.4,11.6,
AL,Etowah County,17.5,32.5,33.4,16.5,
AL,Fayette County,20.8,39.0,26.0,14.1,
AL,Franklin County,24.3,36.7,26.6,12.4,
AL,Geneva County,22.3,36.0,30.1,11.7,
AL,Greene County,23.1,41.0,26.0,10.0,
AL,Hale County,18.6,42.8,24.6,14.0,
AL,Henry County,19.3,36.1,28.4,16.1,
AL,Houston County,15.1,32.1,31.8,21.0,
AL,Jackson County,20.5,41.1,25.8,12.6,
AL,Jefferson County,11.0,26.5,31.1,31.4,
AL,Lamar County,22.6,35.4,29.0,13.1,
AL,Lauderdale County,15.1,34.6,28.6,21.7,
AL,Lawrence County,22.5,39.9,27.4,10.3,
AL,Lee County,11.3,24.5,29.8,34.4,
AL,Limestone County,16.8,32.0,27.9,23.3,
AL,Lowndes County,25.2,37.7,24.9,12.3,
AL,Macon County,19.5,31.2,29.2,20.0,
AL,Madison County,9.2,20.9,29.2,40.7,
AL,Marengo County,16.1,40.2,28.8,14.8,
AL,Marion County,20.1,35.0,32.5,12.5,
AL,Marshall County,21.4,31.9,30.1,16.6,
AL,Mobile County,14.2,32.6,30.7,22.5,
AL,Monroe County,18.0,45.1,24.6,12.4,
AL,Montgomery County,14.5,25.4,28.7,31.5,
AL,Morgan County,17.5,30.1,31.0,21.4,
AL,Perry County,23.6,39.5,22.4,14.5,
AL,Pickens County,18.9,39.9,30.1,11.1,
AL,Pike County,20.0,32.7,23.3,24.0,
AL,Randolph County,22.7,36.4,25.5,15.4,
AL,Russell County,17.4,31.2,34.4,17.0,
AL,St. Clair County,16.5,36.1,31.3,16.1,
AL,Shelby County,8.4,21.0,29.1,41.4,
AL,Sumter County,20.0,41.6,20.3,18.1,
AL,Talladega County,20.2,35.7,31.0,13.1,
AL,Tallapoosa County,20.4,35.3,27.0,17.3,
AL,Tuscaloosa County,11.9,30.3,28.4,29.4,
AL,Walker County,21.4,36.6,31.4,10.5,
AL,Washington County,20.3,45.8,24.3,9.6,
AL,Wilcox County,20.1,44.9,23.6,11.3,
AL,Winston County,24.0,34.3,28.6,13.1,
AK,Alaska,7.7,27.7,35.8,28.8,
AK,Aleutian Islands,,,,,
AK,Aleutians East Borough,15.6,42.0,30.4,11.9,
AK,Aleutians West Census Area,12.5,40.3,31.5,15.7,
AK,Anchorage Municipality,6.7,24.0,35.0,34.3,
AK,Bethel Census Area,19.1,45.4,24.1,11.4,
AK,Bristol Bay Borough,7.4,34.8,38.7,19.1,
AK,Denali Borough,3.8,23.4,34.3,38.5,
AK,Dillingham Census Area,13.2,36.9,32.4,17.6,
AK,Fairbanks North Star Borough,5.6,22.2,38.8,33.4,
AK,Haines Borough,4.5,25.7,29.3,40.4,
AK,Hoonah-Angoon Census Area,9.4,33.9,32.4,24.3,
AK,Juneau City and Borough,4.4,21.2,35.0,39.4,
AK,Kenai Peninsula Borough,7.3,32.2,36.9,23.7,
AK,Ketchikan Gateway Borough,8.0,31.7,36.5,23.8,
AK,Kodiak Island Borough,9.3,27.3,38.5,24.9,
AK,Kusilvak Census Area,21.6,52.2,21.4,4.8,
AK,Kuskokwim Division,,,,,
AK,Lake and Peninsula Borough,13.7,42.5,31.4,12.5,
AK,Matanuska-Susitna Borough,7.6,31.8,40.0,20.6,
AK,Nome Census Area,15.1,43.1,27.9,13.9,
AK,North Slope Borough,11.6,37.8,36.3,14.2,
AK,Northwest Arctic Borough,20.9,45.0,23.4,10.8,
AK,Petersburg Census Area,7.6,33.7,33.7,25.0,
AK,Prince of Wales-Hyder Census Area,9.5,39.1,35.6,15.8,
AK,Prince of Wales-Outer Ketchikan Census Area,,,,,
AK,Sitka City and Borough,7.4,25.7,34.6,32.4,
AK,Skagway Municipality,3.5,24.9,37.9,33.7,
AK,Skagway-Yakutat-Angoon Census Area,,,,,
AK,Skagway-Hoonah-Angoon Census Area,,,,,
AK,Southeast Fairbanks Census Area,9.3,33.4,38.1,19.2,
AK,Upper Yukon Division,,,,,
AK,Valdez-Cordova Census Area,7.2,27.3,35.4,30.1,
AK,Wrangell City and Borough,11.9,34.3,33.6,20.3,
AK,Wrangell-Petersburg Census Area,,,,,
AK,Yakutat City and Borough,5.5,40.8,33.9,19.7,
AK,Yukon-Koyukuk Census Area,17.1,39.9,30.7,12.3,
AZ,Arizona,13.8,24.3,34.0,28.0,
AZ,Apache County,21.8,33.5,33.7,11.1,
AZ,Cochise County,13.4,23.2,40.2,23.2,
AZ,Coconino County,11.1,21.6,33.1,34.2,
AZ,Gila County,15.7,28.7,37.9,17.7,
AZ,Graham County,14.6,32.9,39.2,13.3,
AZ,Greenlee County,12.1,36.8,38.9,12.2,
AZ,La Paz County,24.8,36.4,28.3,10.4,
AZ,Maricopa County,13.1,22.9,33.0,31.0,
AZ,Mohave County,16.1,36.0,36.0,11.9,
AZ,Navajo County,18.5,30.3,36.7,14.5,
AZ,Pima County,12.3,22.6,34.4,30.8,
AZ,Pinal County,15.1,29.2,37.2,18.5,
AZ,Santa Cruz County,25.2,26.2,26.1,22.5,
AZ,Yavapai County,9.8,25.8,38.8,25.5,
AZ,Yuma County,28.3,25.6,31.8,14.4,
AR,Arkansas,14.8,34.7,29.0,21.5,
AR,Arkansas County,17.5,40.6,27.5,14.4,
AR,Ashley County,16.1,39.7,30.6,13.6,
AR,Baxter County,12.8,34.4,35.1,17.7,
AR,Benton County,12.8,30.5,26.0,30.7,
AR,Boone County,15.0,34.6,35.4,15.0,
AR,Bradley County,20.1,41.5,24.2,14.2,
AR,Calhoun County,16.8,49.6,21.6,12.0,
AR,Carroll County,16.2,34.9,31.2,17.7,
AR,Chicot County,19.9,42.0,24.9,13.1,
AR,Clark County,13.5,30.9,30.9,24.7,
AR,Clay County,20.9,42.4,25.4,11.3,
AR,Cleburne County,16.7,38.2,29.7,15.4,
AR,Cleveland County,13.9,43.9,26.5,15.7,
AR,Columbia County,14.8,39.2,24.0,21.9,
AR,Conway County,15.0,42.3,25.8,16.9,
AR,Craighead County,12.0,34.2,28.3,25.4,
AR,Crawford County,14.7,40.0,31.8,13.6,
AR,Crittenden County,18.2,35.6,28.8,17.4,
AR,Cross County,19.3,44.0,21.9,14.7,
AR,Dallas County,16.6,48.9,21.9,12.7,
AR,Desha County,23.9,39.7,23.3,13.2,
AR,Drew County,18.4,36.9,24.9,19.8,
AR,Faulkner County,8.9,30.7,31.3,29.1,
AR,Franklin County,18.9,40.8,27.3,13.0,
AR,Fulton County,16.1,40.7,32.2,11.0,
AR,Garland County,11.6,31.3,36.4,20.6,
AR,Grant County,10.0,41.6,28.6,19.8,
AR,Greene County,14.7,43.0,25.8,16.4,
AR,Hempstead County,21.3,38.0,28.1,12.6,
AR,Hot Spring County,14.1,41.6,30.8,13.5,
AR,Howard County,20.6,33.8,29.9,15.7,
AR,Independence County,15.5,37.5,29.3,17.6,
AR,Izard County,16.1,40.7,30.8,12.4,
AR,Jackson County,23.4,42.1,25.9,8.6,
AR,Jefferson County,15.7,38.4,28.8,17.0,
AR,Johnson County,21.0,43.1,20.0,15.9,
AR,Lafayette County,19.8,42.7,23.8,13.7,
AR,Lawrence County,18.3,41.2,27.2,13.4,
AR,Lee County,30.7,38.6,22.6,8.2,
AR,Lincoln County,20.9,50.2,21.0,7.8,
AR,Little River County,14.0,40.6,35.7,9.7,
AR,Logan County,17.2,43.9,25.9,13.0,
AR,Lonoke County,11.9,33.9,34.7,19.5,
AR,Madison County,19.6,47.1,21.9,11.3,
AR,Marion County,14.0,39.4,31.2,15.3,
AR,Miller County,14.5,39.2,31.8,14.5,
AR,Mississippi County,19.6,36.8,30.9,12.6,
AR,Monroe County,21.8,41.7,27.4,9.1,
AR,Montgomery County,20.2,35.4,31.8,12.5,
AR,Nevada County,16.9,45.0,23.1,15.1,
AR,Newton County,19.6,40.7,24.9,14.8,
AR,Ouachita County,13.8,42.6,26.9,16.6,
AR,Perry County,17.8,43.0,28.6,10.6,
AR,Phillips County,23.6,31.4,33.3,11.7,
AR,Pike County,18.6,35.6,31.0,14.8,
AR,Poinsett County,21.3,42.5,26.7,9.6,
AR,Polk County,15.7,36.9,35.1,12.3,
AR,Pope County,16.5,33.8,28.4,21.3,
AR,Prairie County,17.6,43.4,26.0,13.0,
AR,Pulaski County,9.9,27.1,30.1,32.9,
AR,Randolph County,16.7,38.3,31.3,13.7,
AR,St. Francis County,22.0,38.7,28.8,10.4,
AR,Saline County,10.7,33.4,31.3,24.5,
AR,Scott County,23.6,38.5,27.4,10.6,
AR,Searcy County,15.4,42.1,28.1,14.4,
AR,Sebastian County,17.5,31.9,31.8,18.8,
AR,Sevier County,30.4,34.6,25.7,9.4,
AR,Sharp County,16.8,43.2,30.0,10.1,
AR,Stone County,23.5,35.1,27.0,14.4,
AR,Union County,16.3,36.0,28.6,19.2,
AR,Van Buren County,15.7,45.2,25.5,13.6,
AR,Washington County,15.8,27.5,25.5,31.2,
AR,White County,16.0,38.2,26.5,19.3,
AR,Woodruff County,24.5,45.4,19.9,10.2,
AR,Yell County,22.1,40.9,22.6,14.4,
CA,California,17.9,20.6,29.5,32.0,
CA,Alameda County,12.7,18.0,25.4,43.9,
CA,Alpine County,8.9,32.5,28.9,29.7,
CA,Amador County,11.7,26.8,40.1,21.5,
CA,Butte County,11.7,22.7,39.4,26.1,
CA,Calaveras County,9.6,27.2,43.0,20.2,
CA,Colusa County,31.9,21.8,31.8,14.4,
CA,Contra Costa County,10.9,18.2,30.6,40.3,
CA,Del Norte County,17.8,30.7,36.5,14.9,
CA,El Dorado County,7.4,21.8,37.9,33.0,
CA,Fresno County,26.2,22.7,31.3,19.7,
CA,Glenn County,27.5,27.9,32.0,12.7,
CA,Humboldt County,9.7,24.7,37.4,28.2,
CA,Imperial County,33.0,22.5,30.6,14.0,
CA,Inyo County,11.5,31.2,32.8,24.5,
CA,Kern County,26.4,27.2,30.7,15.7,
CA,Kings County,27.1,26.4,33.7,12.8,
